,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
0,9729720,APARTMENT,PENTHOUSE,179000.0,1140,Good,Semi equipped,1.0,Yes,9.0,No,,,,,,,,
1,9729785,APARTMENT,PENTHOUSE,255000.0,8370,Good,Installed,1.0,Yes,46.0,No,2.0,,,,,,,
2,9729784,APARTMENT,PENTHOUSE,255000.0,8370,Good,Installed,1.0,Yes,46.0,No,2.0,,,,,,,
3,9729780,APARTMENT,PENTHOUSE,620000.0,8370,Good,Installed,3.0,Yes,70.0,No,2.0,,,,,,,
4,9727201,APARTMENT,PENTHOUSE,379000.0,1020,Good,USA hyper equipped,2.0,No,110.0,No,3.0,No,,,,,,
5,9727139,APARTMENT,PENTHOUSE,650000.0,1170,Good,Hyper equipped,3.0,No,31.0,No,4.0,No,,,,,,
6,9727340,APARTMENT,PENTHOUSE,1450000.0,1180,,,,,,No,,,,,,,,
7,9727352,APARTMENT,PENTHOUSE,1900000.0,1060,,,,,,No,,,,,,,,
8,9725914,APARTMENT,PENTHOUSE,345000.0,1090,As new,USA hyper equipped,2.0,No,31.0,No,4.0,Yes,1.0,,,,,
9,9725517,APARTMENT,PENTHOUSE,458000.0,1180,,,,,,No,,,,,,,,
10,9724579,APARTMENT,PENTHOUSE,189500.0,2870,,,,,,No,,,,,,,,
11,9723417,APARTMENT,PENTHOUSE,525000.0,1160,Good,Installed,2.0,No,80.0,No,3.0,No,,,,,,
12,9729475,APARTMENT,PENTHOUSE,499000.0,1190,As new,USA hyper equipped,3.0,No,11.0,No,2.0,No,,,,,,
13,9716762,APARTMENT,PENTHOUSE,285000.0,2220,,,,,,No,,,,,,,,
14,9716698,APARTMENT,PENTHOUSE,294500.0,9300,,,,,,No,,,,,,,,
15,9714965,APARTMENT,PENTHOUSE,445000.0,1180,,,,,,No,,,,,,,,
16,9716200,APARTMENT,PENTHOUSE,458000.0,1180,,,,,,No,,,,,,,,
17,9715013,APARTMENT,PENTHOUSE,575000.0,1180,,,,,,No,,,,,,,,
18,9710989,APARTMENT,PENTHOUSE,345900.0,1120,,,,,,No,,,,,,,,
20,9709499,APARTMENT,PENTHOUSE,230000.0,9300,,,,,,No,,,,,,,,
21,9709484,APARTMENT,PENTHOUSE,299000.0,9300,,,,,,No,,,,,,,,
22,9708560,APARTMENT,PENTHOUSE,304000.0,1050,,,,,,No,,,,,,,,
